iter	Passed	Remaining
419	2128	2940
420	2134	2935
421	2138	2928
422	2143	2923
423	2147	2917
424	2152	2912
425	2157	2907
426	2161	2901
427	2167	2896
428	2171	2890
429	2175	2884
430	2180	2878
431	2184	2872
432	2189	2866
433	2193	2860
434	2198	2855
435	2202	2848
436	2207	2843
437	2211	2837
438	2216	2832
439	2221	2826
440	2225	2821
441	2230	2815
442	2234	2809
443	2240	2805
444	2245	2800
445	2249	2794
446	2254	2788
447	2259	2783
448	2264	2778
449	2269	2773
450	2273	2768
451	2278	2762
452	2282	2756
453	2287	2750
454	2292	2745
455	2296	2739
456	2301	2734
457	2305	2728
458	2309	2722
459	2313	2716
460	2319	2711
461	2323	2705
462	2328	2700
463	2332	2694
464	2337	2688
465	2341	2683
466	2345	2677
467	2350	2672
468	2355	2666
469	2359	2661
470	2363	2655
471	2368	2649
472	2374	2645
473	2378	2639
474	2382	2633
475	2386	2627
476	2391	2622
477	2396	2616
478	2400	2611
479	2405	2606
480	2410	2600
481	2415	2595
482	2419	2589
483	2423	2583
484	2427	2577
485	2432	2572
486	2436	2566
487	2441	2561
488	2445	2555
489	2449	2549
490	2454	2544
491	2458	2538
492	2463	2533
493	2468	2528
494	2473	2523
495	2478	2518
496	2482	2512
497	2488	2508
498	2492	2502
499	2497	2497
500	2500	2490
501	2505	2485
502	2510	2480
503	2515	2475
504	2520	2470
505	2524	2464
506	2528	2458
507	2533	2453
508	2537	2448
509	2542	2442
510	2546	2437
511	2551	2432
512	2556	2426
513	2560	2421
514	2564	2415
515	2569	2410
516	2574	2405
517	2579	2400
518	2584	2394
519	2587	2388
520	2592	2383
521	2596	2377
522	2600	2372
523	2605	2366
524	2610	2362
525	2615	2356
526	2619	2350
527	2624	2345
528	2628	2339
529	2632	2334
530	2636	2328
531	2641	2323
532	2645	2318
533	2650	2313
534	2654	2307
535	2658	2301
536	2663	2296
537	2667	2290
538	2672	2285
539	2677	2281
540	2683	2276
541	2688	2271
542	2692	2266
543	2698	2261
544	2703	2256
545	2708	2251
546	2713	2247
547	2718	2242
548	2723	2237
549	2729	2232
550	2733	2227
551	2738	2222
552	2743	2217
553	2748	2212
554	2753	2207
555	2757	2202
556	2763	2197
557	2768	2192
558	2773	2188
559	2780	2184
560	2784	2178
561	2789	2174
562	2794	2169
563	2798	2163
564	2803	2158
565	2807	2152
566	2812	2147
567	2815	2141
568	2820	2136
569	2825	2131
570	2830	2126
571	2835	2122
572	2839	2116
573	2844	2111
574	2848	2105
575	2853	2100
576	2857	2094
577	2861	2089
578	2865	2083
579	2870	2078
580	2875	2073
581	2880	2068
582	2885	2063
583	2889	2058
584	2894	2053
585	2898	2047
586	2902	2042
587	2907	2037
588	2911	2031
589	2915	2026
590	2919	2020
591	2924	2015
592	2928	2009
593	2933	2005
594	2938	1999
595	2942	1994
596	2947	1989
597	2951	1984
598	2956	1979
599	2960	1973
600	2965	1968
601	2969	1963
602	2974	1958
603	2978	1952
604	2983	1947
605	2988	1943
606	2993	1938
607	2998	1933
608	3002	1927
609	3007	1922
610	3011	1917
611	3016	1912
612	3020	1907
613	3025	1902
614	3030	1897
615	3035	1892
616	3040	1887
617	3044	1881
618	3048	1876
619	3052	1871
620	3056	1865
621	3061	1860
622	3065	1855
623	3070	1850
624	3074	1844
625	3078	1839
626	3082	1833
627	3087	1828
628	3092	1824
629	3097	1819
630	3101	1813
631	3106	1808
632	3111	1803
633	3114	1798
634	3120	1793
635	3124	1788
636	3129	1783
637	3134	1778
638	3138	1773
639	3143	1768
640	3147	1762
641	3152	1758
642	3157	1752
643	3161	1747
644	3166	1742
645	3170	1737
646	3175	1732
647	3179	1727
648	3184	1722
649	3189	1717
650	3193	1712
651	3197	1706
652	3202	1701
653	3207	1697
654	3212	1691
655	3216	1686
656	3221	1681
657	3226	1676
658	3229	1671
659	3234	1666
660	3238	1661
661	3242	1655
662	3247	1650
663	3251	1645
664	3255	1640
665	3260	1634
666	3265	1630
667	3269	1624
668	3273	1619
669	3277	1614
670	3282	1609
671	3286	1604
672	3291	1599
673	3297	1594
674	3301	1589
675	3305	1584
676	3309	1578
677	3313	1573
678	3318	1568
679	3322	1563
680	3325	1557
681	3330	1553
682	3334	1547
683	3338	1542
684	3343	1537
685	3347	1532
686	3351	1526
687	3355	1521
688	3359	1516
689	3363	1511
690	3367	1506
691	3372	1500
692	3376	1495
693	3381	1490
694	3385	1485
695	3389	1480
696	3394	1475
697	3399	1470
698	3404	1465
699	3409	1461
700	3414	1456
701	3418	1451
702	3423	1446
703	3428	1441
704	3432	1436
705	3436	1431
706	3441	1426
707	3445	1421
708	3450	1416
709	3454	1410
710	3458	1405
711	3462	1400
712	3467	1395
713	3471	1390
714	3475	1385
715	3479	1380
716	3484	1375
717	3488	1370
718	3493	1365
719	3497	1360
720	3502	1355
721	3507	1350
722	3511	1345
723	3516	1340
724	3520	1335
725	3525	1330
726	3529	1325
727	3534	1320
728	3539	1315
729	3543	1310
730	3548	1305
731	3552	1300
732	3557	1295
733	3561	1290
734	3566	1285
735	3570	1280
736	3575	1275
737	3580	1271
738	3584	1266
739	3588	1260
740	3593	1255
741	3597	1250
742	3602	1246
743	3607	1241
744	3612	1236
745	3616	1231
746	3621	1226
747	3626	1221
748	3630	1216
749	3635	1211
750	3639	1206
751	3644	1201
752	3649	1196
753	3654	1192
754	3658	1187
755	3662	1182
756	3667	1177
757	3671	1172
758	3676	1167
759	3681	1162
760	3686	1157
761	3691	1152
762	3695	1147
763	3700	1143
764	3704	1138
765	3709	1133
766	3714	1128
767	3718	1123
768	3722	1118
769	3727	1113
770	3732	1108
771	3736	1103
772	3740	1098
773	3744	1093
774	3749	1088
775	3754	1083
776	3759	1078
777	3763	1073
778	3768	1069
779	3772	1064
780	3776	1059
781	3781	1054
782	3785	1049
783	3790	1044
784	3794	1039
785	3799	1034
786	3805	1029
787	3810	1025
788	3815	1020
789	3821	1015
790	3826	1010
791	3831	1006
792	3836	1001
793	3841	996
794	3846	991
795	3850	986
796	3855	981
797	3859	977
798	3864	972
799	3868	967
800	3872	962
801	3876	957
802	3881	952
803	3885	947
804	3889	942
805	3894	937
806	3898	932
807	3903	927
808	3908	922
809	3913	918
810	3919	913
811	3923	908
812	3928	903
813	3933	898
814	3937	893
815	3942	888
816	3946	883
817	3951	879
818	3955	874
819	3960	869
820	3964	864
821	3969	859
822	3973	854
823	3978	849
824	3982	844
825	3987	839
826	3991	835
827	3995	829
828	4000	825
829	4004	820
830	4009	815
831	4014	810
832	4018	805
833	4023	800
834	4027	795
835	4032	791
836	4036	786
837	4041	781
838	4045	776
839	4050	771
840	4054	766
841	4059	761
842	4063	756
843	4067	751
844	4073	747
845	4076	742
846	4081	737
847	4085	732
848	4089	727
849	4095	722
850	4099	717
851	4104	712
852	4108	708
853	4112	703
854	4117	698
855	4121	693
856	4125	688
857	4130	683
858	4134	678
859	4138	673
860	4142	668
861	4147	663
862	4151	659
863	4156	654
864	4160	649
865	4165	644
866	4170	639
867	4174	634
868	4179	630
869	4184	625
870	4188	620
871	4193	615
872	4197	610
873	4202	605
874	4206	600
875	4211	596
876	4215	591
877	4220	586
878	4225	581
879	4229	576
880	4234	571
881	4238	567
882	4243	562
883	4247	557
884	4252	552
885	4256	547
886	4261	542
887	4266	538
888	4270	533
889	4274	528
890	4278	523
891	4283	518
892	4287	513
893	4292	508
894	4296	504
895	4301	499
896	4305	494
897	4310	489
898	4315	484
899	4319	479
900	4324	475
901	4328	470
902	4333	465
903	4337	460
904	4341	455
905	4345	450
906	4349	446
907	4354	441
908	4358	436
909	4362	431
910	4367	426
911	4372	421
912	4375	416
913	4380	412
914	4384	407
915	4390	402
916	4394	397
917	4398	392
918	4403	388
919	4408	383
920	4413	378
921	4417	373
922	4422	368
923	4426	364
924	4431	359
925	4436	354
926	4441	349
927	4445	344
928	4450	340
929	4455	335
930	4460	330
931	4465	325
932	4470	321
933	4474	316
934	4479	311
935	4483	306
936	4487	301
937	4492	296
938	4496	292
939	4501	287
940	4505	282
941	4510	277
942	4514	272
943	4518	268
944	4523	263
945	4528	258
946	4532	253
947	4537	248
948	4542	244
949	4546	239
950	4551	234
951	4555	229
952	4560	224
953	4564	220
954	4569	215
955	4574	210
956	4578	205
957	4583	200
958	4587	196
959	4592	191
960	4597	186
961	4602	181
962	4607	177
963	4611	172
964	4615	167
965	4619	162
966	4624	157
967	4628	153
968	4633	148
969	4638	143
970	4642	138
971	4646	133
972	4650	129
973	4655	124
974	4659	119
975	4664	114
976	4668	109
977	4673	105
978	4676	100
979	4681	95
980	4685	90
981	4690	85
982	4694	81
983	4699	76
984	4703	71
985	4708	66
986	4713	62
987	4718	57
988	4723	52
989	4727	47
990	4732	42
991	4738	38
992	4742	33
993	4747	28
994	4752	23
995	4756	19
996	4761	14
997	4766	9
998	4770	4
999	4775	0
